FrameIndex,Timestamp,FrameTime_ms,FPS
387,1.185151,3.000000,326.693390
388,1.188412,3.000000,326.693390
389,1.191225,3.000000,326.693390
390,1.194065,3.000000,326.693390
391,1.197752,4.000000,326.693390
392,1.200523,2.000000,326.693390
393,1.203730,3.000000,326.693390
394,1.206581,3.000000,326.693390
395,1.209786,4.000000,326.693390
396,1.212930,3.000000,326.693390
397,1.215691,2.000000,326.693390
398,1.218959,4.000000,326.693390
399,1.221931,3.000000,326.693390
400,1.224996,3.000000,326.693390
401,1.228116,3.000000,326.693390
402,1.231352,3.000000,326.693390
403,1.234291,3.000000,326.693390
404,1.237406,3.000000,326.693390
405,1.240195,3.000000,326.693390
406,1.243013,3.000000,326.693390
407,1.246324,3.000000,326.693390
408,1.249095,3.000000,326.693390
409,1.252304,3.000000,326.693390
410,1.255140,3.000000,326.693390
411,1.258358,3.000000,326.693390
412,1.261723,3.000000,326.693390
413,1.264920,4.000000,326.693390
414,1.267843,3.000000,326.693390
415,1.270705,2.000000,326.693390
416,1.273767,4.000000,326.693390
417,1.276935,3.000000,326.693390
418,1.280160,3.000000,326.693390
419,1.283315,3.000000,326.693390
420,1.286547,3.000000,326.693390
421,1.289374,3.000000,326.693390
422,1.292192,3.000000,326.693390
423,1.295553,3.000000,326.693390
424,1.298450,3.000000,326.693390
425,1.301659,3.000000,326.693390
426,1.304475,3.000000,326.693390
427,1.307678,3.000000,326.693390
428,1.310459,3.000000,326.693390
429,1.313851,4.000000,326.693390
430,1.316461,2.000000,326.693390
431,1.319293,3.000000,326.693390
432,1.322557,3.000000,326.693390
433,1.325525,3.000000,326.693390
434,1.329119,4.000000,326.693390
435,1.331840,3.000000,326.693481
436,1.335125,3.000000,326.693481
437,1.337898,3.000000,326.693481
438,1.340782,2.000000,326.693481
439,1.344285,4.000000,326.693481
440,1.347169,3.000000,326.693481
441,1.350295,3.000000,326.693481
442,1.353596,3.000000,326.693481
443,1.356804,4.000000,326.693481
444,1.360040,3.000000,326.693481
445,1.363109,3.000000,326.693481
446,1.365915,3.000000,326.693481
447,1.368818,3.000000,326.693481
448,1.371978,3.000000,326.693481
449,1.374827,3.000000,326.693481
450,1.378151,3.000000,326.693481
451,1.380882,3.000000,326.693481
452,1.384156,3.000000,326.693481
453,1.386881,3.000000,326.693481
454,1.390299,3.000000,326.693481
455,1.393414,3.000000,326.693481
456,1.396297,3.000000,326.693481
457,1.399523,3.000000,326.693481
458,1.402489,3.000000,326.693481
459,1.405541,3.000000,326.693481
460,1.408636,3.000000,326.693481
461,1.412272,4.000000,326.693481
462,1.415017,3.000000,326.693481
463,1.418222,3.000000,326.693481
464,1.421013,3.000000,326.693481
465,1.424568,3.000000,326.693481
466,1.427430,3.000000,326.693481
467,1.430305,3.000000,326.693481
468,1.433452,3.000000,326.693481
469,1.436360,3.000000,326.693481
470,1.439461,3.000000,326.693481
471,1.442388,3.000000,326.693481
472,1.445524,3.000000,326.693481
473,1.448338,3.000000,326.693481
474,1.451185,3.000000,326.693481
475,1.454362,3.000000,326.693481
476,1.457781,3.000000,326.693481
477,1.460941,4.000000,326.693481
478,1.464010,3.000000,326.693481
479,1.467300,3.000000,326.693481
480,1.470152,3.000000,326.693481
481,1.473374,3.000000,326.693481
482,1.476587,3.000000,326.693481
483,1.479375,3.000000,326.693481
484,1.482953,4.000000,326.693481
485,1.485958,3.000000,326.693481
486,1.489169,3.000000,326.693481
487,1.492281,3.000000,326.693481
488,1.495482,3.000000,326.693481
489,1.498417,3.000000,326.693481
490,1.501522,3.000000,326.693481
491,1.504345,3.000000,326.693481
492,1.507185,3.000000,326.693481
493,1.510428,3.000000,326.693481
494,1.513249,3.000000,326.693481
495,1.516469,3.000000,326.693481
496,1.519228,3.000000,326.693481
497,1.522882,4.000000,326.693481
498,1.525762,3.000000,326.693481
499,1.529006,3.000000,326.693481
500,1.531809,3.000000,326.693481
501,1.534614,2.000000,326.693481
502,1.537838,4.000000,326.693481
503,1.541014,3.000000,326.693481
504,1.544143,3.000000,326.693481
505,1.546963,3.000000,326.693481
506,1.550208,3.000000,326.693481
507,1.553435,3.000000,326.693481
508,1.557060,4.000000,326.693481
509,1.559863,3.000000,326.693481
510,1.562645,2.000000,326.693481
511,1.565877,4.000000,326.693481
512,1.568693,2.000000,326.693481
513,1.571955,4.000000,326.693481
514,1.574719,2.000000,326.693481
515,1.577946,4.000000,326.693481
516,1.580747,3.000000,326.693481
517,1.583585,2.000000,326.693481
518,1.586776,4.000000,326.693481
519,1.590202,3.000000,326.693481
520,1.593395,3.000000,326.693481
521,1.596226,3.000000,326.693481
522,1.599449,3.000000,326.693481
523,1.602243,3.000000,326.693481
524,1.605739,3.000000,326.693481
525,1.608503,3.000000,326.693481
526,1.611341,3.000000,326.693481
527,1.615014,4.000000,326.693481
528,1.617765,3.000000,326.693481
529,1.621304,3.000000,326.693481
530,1.624162,3.000000,326.693481
531,1.627352,3.000000,326.693481
532,1.630193,3.000000,326.693481
533,1.633376,3.000000,326.693481
534,1.636350,3.000000,326.693481
535,1.639045,3.000000,326.693481
536,1.642214,3.000000,326.693481
537,1.645038,3.000000,326.693481
538,1.648291,3.000000,326.693481
539,1.651086,3.000000,326.693481
540,1.654730,3.000000,326.693481
541,1.657530,3.000000,326.693481
542,1.660744,3.000000,326.693481
543,1.663569,3.000000,326.693481
544,1.666378,3.000000,326.693481
545,1.669976,4.000000,326.693481
546,1.672785,3.000000,326.693481
547,1.675996,3.000000,326.693481
548,1.678795,3.000000,326.693481
549,1.681990,3.000000,326.693481
550,1.685317,3.000000,326.693481
551,1.688930,4.000000,326.693481
552,1.691673,2.000000,326.693481
553,1.694454,3.000000,326.693481
554,1.697703,3.000000,326.693481
555,1.700530,3.000000,326.693481
556,1.703741,3.000000,326.693481
557,1.706522,3.000000,326.693481
558,1.709762,3.000000,326.693481
559,1.712531,3.000000,326.693481
560,1.715384,3.000000,326.693481
561,1.718829,4.000000,326.693481
562,1.721990,3.000000,326.693481
563,1.725170,3.000000,326.693481
564,1.728024,3.000000,326.693481
565,1.731257,3.000000,326.693481
566,1.734016,3.000000,326.693481
567,1.737172,3.000000,326.693481
568,1.740750,4.000000,326.693481
569,1.743985,3.000000,326.693481
570,1.746830,3.000000,326.693481
571,1.749688,2.000000,326.693481
572,1.753100,4.000000,326.693481
573,1.755826,3.000000,326.693481
574,1.759070,3.000000,326.693481
575,1.761877,3.000000,326.693481
576,1.765120,3.000000,326.693481
577,1.767916,3.000000,326.693481
578,1.770810,3.000000,326.693481
579,1.774034,3.000000,326.693481
580,1.776860,3.000000,326.693481
581,1.780027,3.000000,326.693481
582,1.782827,3.000000,326.693481
583,1.786400,3.000000,326.693481
584,1.789231,3.000000,326.693481
585,1.792123,3.000000,326.693481
586,1.795204,3.000000,326.693481
587,1.798068,3.000000,326.693481
588,1.801533,3.000000,326.693481
589,1.804307,3.000000,326.693481
590,1.807654,3.000000,326.693481
591,1.810851,4.000000,326.693481
592,1.813322,2.000000,326.693481
593,1.817031,4.000000,326.693481
594,1.819864,3.000000,326.693481
595,1.823039,3.000000,326.693481
596,1.825860,3.000000,326.693481
597,1.829026,3.000000,326.693481
598,1.831852,3.000000,326.693481
599,1.835032,3.000000,326.044006
600,1.837858,3.000000,326.044006
601,1.841098,3.000000,326.044006
602,1.843876,3.000000,326.044006
603,1.846752,2.000000,326.044006
604,1.850445,4.000000,326.044006
605,1.853273,3.000000,326.044006
606,1.856464,3.000000,326.044006
607,1.859273,3.000000,326.044006
608,1.862498,3.000000,326.044006
609,1.865606,3.000000,326.044006
610,1.868442,3.000000,326.044006
611,1.871990,4.000000,326.044006
612,1.874854,3.000000,326.044006
