FrameIndex,Timestamp,FrameTime_ms,FPS,RenderMode
183,0.561404,3.000000,328.031921,Standard
184,0.564805,4.000000,328.031921,Standard
185,0.567851,3.000000,328.031921,Standard
186,0.570926,3.000000,328.031921,Standard
187,0.574207,3.000000,328.031921,Standard
188,0.577295,3.000000,328.031921,Standard
189,0.580364,3.000000,328.031921,Standard
190,0.583437,3.000000,328.031921,Standard
191,0.586643,4.000000,328.031921,Standard
192,0.589982,3.000000,328.031921,Standard
193,0.593280,3.000000,328.031921,Standard
194,0.596538,3.000000,328.031921,Standard
195,0.599611,4.000000,328.031921,Standard
196,0.602762,3.000000,328.031921,Standard
197,0.605790,3.000000,328.031921,Standard
198,0.608765,3.000000,328.031921,Standard
199,0.612084,3.000000,328.031921,Standard
200,0.615127,3.000000,328.031921,Standard
201,0.618188,3.000000,328.031921,Standard
202,0.621825,4.000000,328.031921,Standard
203,0.624985,3.000000,328.031921,Standard
204,0.628194,3.000000,328.031921,Standard
205,0.631515,3.000000,328.031921,Standard
206,0.634751,4.000000,328.031921,Standard
207,0.637872,3.000000,328.031921,Standard
208,0.641158,3.000000,328.031921,Standard
209,0.644144,3.000000,328.031921,Standard
210,0.647344,3.000000,328.031921,Standard
211,0.650874,4.000000,328.031921,Standard
212,0.655849,5.000000,328.031921,Standard
213,0.659460,3.000000,326.043884,Standard
214,0.662795,4.000000,326.043884,Standard
215,0.665768,3.000000,326.043884,Standard
216,0.670008,4.000000,326.043884,Standard
217,0.673430,3.000000,326.043884,Standard
218,0.676863,4.000000,326.043884,Standard
219,0.680081,3.000000,326.043884,Standard
220,0.683399,3.000000,326.043884,Standard
221,0.686387,3.000000,326.043884,Standard
222,0.689781,3.000000,326.043884,Standard
223,0.692980,4.000000,326.043884,Standard
224,0.696415,3.000000,326.043884,Standard
225,0.699698,3.000000,326.043884,Standard
226,0.703321,4.000000,326.043884,Standard
227,0.706309,3.000000,326.043884,Standard
228,0.709615,3.000000,326.043884,Standard
229,0.712750,3.000000,326.043884,Standard
230,0.716032,4.000000,326.043884,Standard
231,0.719444,3.000000,326.043884,Standard
232,0.722740,3.000000,326.043884,Standard
233,0.725825,4.000000,326.043884,Standard
234,0.729995,3.000000,326.043884,Standard
235,0.733261,4.000000,326.043884,Standard
236,0.736457,3.000000,326.043884,Standard
237,0.739515,3.000000,326.043884,Standard
238,0.742864,3.000000,326.043884,Standard
239,0.746437,4.000000,326.043884,Standard
240,0.749957,4.000000,326.043884,Standard
241,0.752980,3.000000,326.043884,Standard
242,0.756094,3.000000,326.043884,Standard
243,0.759393,3.000000,326.043884,Standard
244,0.762484,3.000000,326.043884,Standard
245,0.766234,4.000000,326.043884,Standard
246,0.769321,3.000000,326.043884,Standard
247,0.772535,3.000000,326.043884,Standard
248,0.775849,3.000000,326.043884,Standard
249,0.779570,4.000000,326.043884,Standard
250,0.783550,4.000000,326.043884,Standard
251,0.786762,3.000000,326.043884,Standard
252,0.789906,4.000000,326.043884,Standard
253,0.793908,3.000000,326.043884,Standard
254,0.797255,4.000000,326.043884,Standard
255,0.800643,3.000000,326.043884,Standard
256,0.803417,3.000000,326.043884,Standard
257,0.806653,3.000000,326.043884,Standard
258,0.809986,4.000000,326.043884,Standard
259,0.813255,3.000000,326.043884,Standard
260,0.816118,3.000000,326.043884,Standard
261,0.818910,3.000000,326.043884,Standard
262,0.822029,3.000000,326.043884,Standard
263,0.825416,3.000000,326.043884,Standard
264,0.828444,3.000000,326.043884,Standard
265,0.831101,3.000000,326.043884,Standard
266,0.834076,3.000000,326.043884,Standard
267,0.836838,3.000000,326.043884,Standard
268,0.839781,3.000000,326.043884,Standard
269,0.842574,3.000000,326.043884,Standard
270,0.845284,2.000000,326.043884,Standard
271,0.848183,3.000000,326.043884,Standard
272,0.851684,4.000000,326.043884,Standard
273,0.854467,2.000000,326.043884,Standard
274,0.857365,3.000000,326.043884,Standard
275,0.860049,3.000000,326.043884,Standard
276,0.862855,3.000000,326.043884,Standard
277,0.865478,2.000000,326.043884,Standard
278,0.868343,3.000000,326.043884,Standard
279,0.871445,3.000000,326.043884,Standard
280,0.874476,3.000000,326.043884,Standard
281,0.877307,3.000000,326.043884,Standard
282,0.880007,3.000000,326.043884,Standard
283,0.882812,3.000000,326.043884,Standard
284,0.885465,2.000000,326.043884,Standard
285,0.888493,3.000000,326.043884,Standard
286,0.891479,3.000000,326.043884,Standard
287,0.894232,3.000000,326.043884,Standard
288,0.897429,3.000000,326.043884,Standard
289,0.900123,3.000000,326.043884,Standard
290,0.903398,3.000000,326.043884,Standard
291,0.906239,3.000000,326.043884,Standard
292,0.909586,3.000000,326.043884,Standard
293,0.912359,3.000000,326.043884,Standard
294,0.915305,3.000000,326.043884,Standard
295,0.918618,3.000000,326.043884,Standard
296,0.922054,4.000000,326.043884,Standard
297,0.925422,3.000000,326.043884,Standard
298,0.928668,3.000000,326.043884,Standard
299,0.931787,3.000000,326.043884,Standard
300,0.935449,4.000000,326.043884,Standard
301,0.938627,3.000000,326.043884,Standard
302,0.941572,3.000000,326.043884,Standard
303,0.944523,4.000000,326.043884,Standard
304,0.947790,2.000000,326.043884,Standard
305,0.951230,4.000000,326.043884,Standard
306,0.954441,3.000000,326.043884,Standard
307,0.957443,3.000000,326.043884,Standard
308,0.960505,3.000000,326.043884,Standard
309,0.963682,3.000000,326.043884,Standard
310,0.966979,4.000000,326.043884,Standard
311,0.970297,3.000000,326.043884,Standard
312,0.973066,3.000000,326.043884,Standard
313,0.975759,3.000000,326.043884,Standard
314,0.978923,3.000000,326.043884,Standard
315,0.981928,3.000000,326.043884,Standard
316,0.984714,3.000000,326.043884,Standard
317,0.987423,2.000000,326.043884,Standard
